input,output,cycles taken 
2.0784 , -0.5794 , 7209 
2.0884 , -0.5881 , 7209 
2.0984 , -0.5967 , 7210 
2.1084 , -0.6053 , 7209 
2.1184 , -0.6139 , 7209 
2.1284 , -0.6223 , 7209 
2.1384 , -0.6307 , 7209 
2.1484 , -0.6390 , 7210 
2.1584 , -0.6473 , 7209 
2.1684 , -0.6555 , 7209 
2.1784 , -0.6636 , 8149 
2.1884 , -0.6717 , 7209 
2.1984 , -0.6797 , 7209 
2.2084 , -0.6876 , 7210 
2.2184 , -0.6955 , 7209 
2.2284 , -0.7033 , 7209 
2.2384 , -0.7110 , 7209 
2.2484 , -0.7186 , 7209 
2.2584 , -0.7262 , 7210 
2.2684 , -0.7337 , 7209 
2.2784 , -0.7411 , 8145 
2.2884 , -0.7485 , 7209 
2.2984 , -0.7558 , 7209 
2.3084 , -0.7630 , 7210 
2.3184 , -0.7701 , 7209 
2.3284 , -0.7772 , 7209 
2.3384 , -0.7842 , 7209 
2.3484 , -0.7911 , 7209 
2.3584 , -0.7979 , 7209 
2.3684 , -0.8047 , 7210 
2.3784 , -0.8114 , 7211 
2.3884 , -0.8180 , 7209 
2.3984 , -0.8245 , 7209 
2.4084 , -0.8309 , 7209 
2.4184 , -0.8373 , 7210 
2.4284 , -0.8436 , 7209 
2.4384 , -0.8498 , 7209 
2.4484 , -0.8559 , 7209 
2.4584 , -0.8620 , 7209 
2.4684 , -0.8680 , 7213 
2.4784 , -0.8738 , 7209 
2.4884 , -0.8797 , 7209 
2.4984 , -0.8854 , 7209 
2.5084 , -0.8910 , 7209 
2.5184 , -0.8966 , 7209 
2.5284 , -0.9021 , 7210 
2.5384 , -0.9075 , 7209 
2.5484 , -0.9128 , 7209 
2.5584 , -0.9180 , 7209 
2.5684 , -0.9231 , 7209 
2.5784 , -0.9282 , 7210 
2.5884 , -0.9332 , 7209 
2.5984 , -0.9381 , 7209 
2.6084 , -0.9429 , 7209 
2.6184 , -0.9476 , 7209 
2.6284 , -0.9522 , 7211 
2.6384 , -0.9568 , 7209 
2.6484 , -0.9612 , 7209 
2.6584 , -0.9656 , 7209 
2.6684 , -0.9699 , 7212 
2.6784 , -0.9741 , 7209 
2.6884 , -0.9782 , 7210 
2.6984 , -0.9822 , 7209 
2.7084 , -0.9861 , 7209 
2.7184 , -0.9900 , 7209 
2.7284 , -0.9937 , 7209 
2.7384 , -0.9974 , 7210 
2.7484 , -1.0009 , 7209 
2.7584 , -1.0044 , 7209 
2.7684 , -1.0078 , 7210 
2.7784 , -1.0111 , 7209 
2.7884 , -1.0143 , 7209 
2.7984 , -1.0174 , 7209 
2.8084 , -1.0205 , 7209 
2.8184 , -1.0234 , 7209 
2.8284 , -1.0262 , 7209 
2.8384 , -1.0290 , 7209 
2.8484 , -1.0317 , 7210 
2.8584 , -1.0342 , 7209 
