input,output,cycles taken 
2.5784 , -0.9231 , 61531
2.5884 , -0.9281 , 61527
2.5984 , -0.9331 , 61487
2.6084 , -0.9380 , 61512
2.6184 , -0.9428 , 61645
2.6284 , -0.9475 , 61578
2.6384 , -0.9522 , 61683
2.6484 , -0.9567 , 61645
2.6584 , -0.9612 , 61535
2.6684 , -0.9655 , 61702
2.6784 , -0.9698 , 61315
2.6884 , -0.9740 , 61414
2.6984 , -0.9781 , 61548
2.7084 , -0.9821 , 61494
2.7184 , -0.9861 , 61408
2.7284 , -0.9899 , 61354
2.7384 , -0.9937 , 61366
2.7484 , -0.9973 , 61446
2.7584 , -1.0009 , 61446
2.7684 , -1.0044 , 61513
2.7784 , -1.0078 , 61475
2.7884 , -1.0111 , 61505
2.7984 , -1.0143 , 61651
2.8084 , -1.0174 , 61559
2.8184 , -1.0204 , 61641
2.8284 , -1.0234 , 61580
2.8384 , -1.0262 , 61669
2.8484 , -1.0289 , 61719
2.8584 , -1.0316 , 61620
2.8684 , -1.0342 , 61663
2.8784 , -1.0366 , 61530
2.8884 , -1.0390 , 61544
2.8984 , -1.0413 , 61462
2.9084 , -1.0435 , 61586
2.9184 , -1.0456 , 61817
2.9284 , -1.0476 , 61625
2.9384 , -1.0495 , 61532
2.9484 , -1.0513 , 61687
2.9584 , -1.0530 , 61669
2.9684 , -1.0546 , 61746
2.9784 , -1.0562 , 61673
2.9884 , -1.0576 , 61619
2.9984 , -1.0589 , 61534
3.0084 , -1.0602 , 61686
3.0184 , -1.0613 , 61590
3.0284 , -1.0623 , 61644
3.0384 , -1.0633 , 61558
3.0484 , -1.0641 , 61391
3.0584 , -1.0649 , 61510
3.0684 , -1.0655 , 61651
3.0784 , -1.0661 , 61663
3.0884 , -1.0665 , 61762
3.0984 , -1.0669 , 61651
3.1084 , -1.0672 , 61521
3.1184 , -1.0673 , 61589
3.1284 , -1.0674 , 61549
3.1384 , -1.0673 , 61662
